Round,WaterGain,FoodGain,WoodGain
0,0.77,0.75,0.38
1,1.13,1.06,0.39
2,1.55,1.46,0.38
3,2.10,1.80,0.39
4,2.69,2.18,0.33
5,3.29,2.65,0.33
6,3.75,3.12,0.35
7,4.09,3.72,0.35
8,4.57,4.32,0.43
9,4.96,4.76,0.35
10,5.18,4.91,0.32
11,5.38,5.14,0.24
12,5.65,5.50,0.12
13,6.02,5.86,0.17
14,6.44,6.19,0.22
15,7.00,6.58,0.20
16,7.60,6.99,0.25
17,8.19,7.40,0.26
18,8.68,7.87,0.25
19,9.10,8.50,0.24
20,9.49,9.08,0.31
21,9.75,9.47,0.18
22,10.02,9.74,0.10
23,10.20,9.91,0.02
24,10.47,10.20,0.15
25,10.92,10.57,0.14
26,11.31,10.96,0.18
27,11.81,11.34,0.19
28,12.39,11.71,0.12
29,13.08,12.19,0.10
30,13.63,12.64,0.14
31,14.03,13.29,0.13
32,14.36,13.92,0.14
33,14.74,14.35,0.11
34,14.98,14.63,0.06
35,15.23,14.90,0.06
36,15.60,15.21,0.14
37,15.98,15.55,0.08
38,16.40,15.91,0.13
39,16.84,16.35,0.13
40,17.45,16.77,0.17
41,18.00,17.10,0.09
42,18.50,17.64,0.15
43,18.95,18.25,0.23
44,19.38,18.89,0.29
45,19.72,19.20,0.22
46,19.87,19.33,0.14
47,20.05,19.50,0.05
48,20.33,19.86,0.07
49,20.75,20.27,0.06
50,21.16,20.59,0.06
51,21.73,21.01,0.10
52,22.35,21.39,0.07
53,22.94,21.81,0.13
54,23.49,22.39,0.10
55,23.84,22.97,0.16
56,24.26,23.58,0.16
57,24.57,23.90,0.10
58,24.68,24.10,0.02
59,24.95,24.31,0.09
60,25.23,24.56,0.13
61,25.63,24.94,0.12
62,26.08,25.31,0.06
63,26.53,25.73,0.12
64,27.14,26.06,0.08
65,27.78,26.46,0.14
66,28.29,27.02,0.16
67,28.72,27.64,0.10
68,29.04,28.16,0.09
69,29.26,28.61,0.12
70,29.41,28.83,0.04
71,29.54,28.99,0.03
72,29.84,29.33,0.07
73,30.25,29.70,0.11
74,30.73,30.09,0.17
75,31.29,30.51,0.15
76,31.93,30.89,0.10
77,32.55,31.26,0.05
78,33.07,31.79,0.17
79,33.52,32.47,0.19
80,33.94,33.09,0.12
81,34.22,33.47,0.08
82,34.43,33.71,0.07
83,34.57,33.86,0.03
84,34.86,34.15,0.15
85,35.23,34.52,0.16
86,35.72,34.93,0.17
87,36.25,35.38,0.18
88,36.78,35.85,0.23
89,37.31,36.22,0.21
90,37.79,36.74,0.25
91,38.15,37.28,0.25
92,38.57,37.88,0.24
93,38.87,38.27,0.19
94,39.10,38.42,0.13
95,39.27,38.69,0.07
96,39.59,38.94,0.10
97,40.01,39.39,0.13
98,40.41,39.84,0.15
99,40.93,40.32,0.18
